Designator,Footprint,Quantity,Value,LCSC Part #
"R3_4, R3_3, R3_2, R3, R4_4, R4_3, R4_2, R4",RESAD3700W85L1500D550,8,"0.68 Ω, 3W, 5%",
"R5_4, R5_3, R5_2, R5, R6_4, R6_3, R6_2, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,8,100 Ω,
"T1_4, T1_3, T1_2, T1","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",4,IN_L_P5.00mm,
"T2_4, T2_3, T2_2, T2","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",4,OUT_L_P5.00mm,
"T3_4, T3_3, T3_2, T3","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",4,S+24V_IN_L_P5.00mm,
"TP1_4, TP1_3, TP1_2, TP1",TestPoint_Pad_D1.5mm,4,3.5-4.1V,
"TP10_4, TP10_3, TP10_2, TP10, TP3_4, TP3_3, TP3_2, TP3",TestPoint_Pad_D1.5mm,8,4.1-4.7V,
"TP11_4, TP11_3, TP11_2, TP11",TestPoint_Pad_D1.5mm,4,11.8-12V/5.2KΩ,
"TP12_4, TP12_3, TP12_2, TP12",TestPoint_Pad_D1.5mm,4,0V/0Ω,
"TP2_4, TP2_3, TP2_2, TP2, TP8_4, TP8_3, TP8_2, TP8",TestPoint_Pad_D1.5mm,8,24V,
"TP4_4, TP4_3, TP4_2, TP4",TestPoint_Pad_D1.5mm,4,11.8-12V,
"TP5_4, TP5_3, TP5_2, TP5",TestPoint_Pad_D1.5mm,4,12.3-12.6V,
"TP6_4, TP6_3, TP6_2, TP6",TestPoint_Pad_D1.5mm,4,17.2-17.7V,
"TP7_4, TP7_3, TP7_2, TP7",TestPoint_Pad_D1.5mm,4,17.0-17.2V,
"TP9_4, TP9_3, TP9_2, TP9",TestPoint_Pad_D1.5mm,4,12.7-12.9V,
"VR1_4, VR1_3, VR1_2, VR1",3386P_1,4,3386P-1-502LF,
